"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"AD20170255","Econometria II","R","Nancy Milena Hoyos","Administración de Empresas","Pregrado","04/11/2017","Saturday","07:00- 09:00","35","2017-II","13","","DICTADA","","","","","","","","","","","",""
"AD20170256","Econometria II","R","Nancy Milena Hoyos","Administración de Empresas","Pregrado","04/11/2017","Saturday","13:00- 16:00","20","2017-II","13","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","06/11/2017","Monday","Ninguno","Ninguno","2017-II","14","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/11/2017","Tuesday","Ninguno","Ninguno","2017-II","14","Ninguno","","","","","","","","","","","","",""
"AD20170257","Econometria II","R","Nancy Milena Hoyos","Administración de Empresas","Pregrado","08/11/2017","Wednesday","07:00- 09:00","38","2017-II","14","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","09/11/2017","Thursday","Ninguno","Ninguno","2017-II","14","Ninguno","","","","","","","","","","","","",""
"AD20170258","Investigación de Mercados","SPSS","Sara Catalina Forero","Administración de Empresas","Pregrado","10/11/2017","Friday","07:00- 09:00","38","2017-II","14","","DICTADA","","","","","","","","","","","",""
"AD20170259","Investigación de Mercados","SPSS","Sara Catalina Forero","Economía","Posgrado","11/11/2017","Saturday","18:00- 21:00","6","2017-II","14","","DICTADA","","","","","","","","","","","",""
"AD20170260","Sistemas de Información Gerencial","Odoo","Henry Martinez Sarmiento","Administración de Empresas","Pregrado","11/11/2017","Saturday","13:00- 16:00","20","2017-II","14","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","13/11/2017","Monday","Ninguno","Ninguno","2017-II","15","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/11/2017","Tuesday","Ninguno","Ninguno","2017-II","15","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/11/2017","Wednesday","Ninguno","Ninguno","2017-II","15","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","16/11/2017","Thursday","Ninguno","Ninguno","2017-II","15","Ninguno","","","","","","","","","","","","",""
"AD20170261","Sistemas de Información Gerencial","Odoo","Henry Martinez Sarmiento","Economía","Posgrado","17/11/2017","Friday","18:00- 21:00","6","2017-II","15","","DICTADA","","","","","","","","","","","",""
"AD20170262","Sistemas de Información Gerencial","Odoo","Henry Martinez Sarmiento","Economía","Posgrado","18/11/2017","Saturday","14:00- 16:00","6","2017-II","15","","DICTADA","","","","","","","","","","","",""
"AD20170263","Sistemas de Información Gerencial","Odoo","Henry Martinez Sarmiento","Administración de Empresas","Pregrado","18/11/2017","Saturday","13:00- 16:00","20","2017-II","15","","DICTADA","","","","","","","","","","","",""
"AD20170264","Fundamentos de Gestion","SAP","Jairo Orlando Villabona","Administración de Empresas","Pregrado","20/11/2017","Monday","09:00- 11:00","15","2017-II","16","","DICTADA","","","","","","","","","","","",""
"AD20170265","Fundamentos de Gestion","SAP","Jairo Orlando Villabona","Administración de Empresas","Pregrado","20/11/2017","Monday","09:00- 11:00","15","2017-II","16","","DICTADA","","","","","","","","","","","",""
"AD20170266","Fundamentos de Gestion","SAP","Jairo Orlando Villabona","Administración de Empresas","Pregrado","21/11/2017","Tuesday","09:00- 11:00","15","2017-II","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","22/11/2017","Wednesday","Ninguno","Ninguno","2017-II","16","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","23/11/2017","Thursday","Ninguno","Ninguno","2017-II","16","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","24/11/2017","Friday","Ninguno","Ninguno","2017-II","16","Ninguno","","","","","","","","","","","","",""
"AD20170267","Fundamentos de Gestion","SAP","Jairo Orlando Villabona","Administración de Empresas","Pregrado","25/11/2017","Saturday","13:00- 16:00","20","2017-II","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","05/02/2018","Monday","Ninguno","Ninguno","2018-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","06/02/2018","Tuesday","Ninguno","Ninguno","2018-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/02/2018","Wednesday","Ninguno","Ninguno","2018-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","08/02/2018","Thursday","Ninguno","Ninguno","2018-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","09/02/2018","Friday","Ninguno","Ninguno","2018-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","10/02/2018","Saturday","Ninguno","Ninguno","2018-I","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","12/02/2018","Monday","Ninguno","Ninguno","2018-I","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","13/02/2018","Tuesday","Ninguno","Ninguno","2018-I","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/02/2018","Wednesday","Ninguno","Ninguno","2018-I","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/02/2018","Thursday","Ninguno","Ninguno","2018-I","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","16/02/2018","Friday","Ninguno","Ninguno","2018-I","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","17/02/2018","Saturday","Ninguno","Ninguno","2018-I","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","19/02/2018","Monday","Ninguno","Ninguno","2018-I","3","Ninguno","","","","","","","","","","","","",""
"AD20180101","Contabilidad de operaciones","Excel","Monica Sarmiento","Contaduría Pública","Pregrado","20/02/2018","Tuesday","N/A","N/A","2018-I","3","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","21/02/2018","Wednesday","Ninguno","Ninguno","2018-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","22/02/2018","Thursday","Ninguno","Ninguno","2018-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","23/02/2018","Friday","Ninguno","Ninguno","2018-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","24/02/2018","Saturday","Ninguno","Ninguno","2018-I","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","26/02/2018","Monday","Ninguno","Ninguno","2018-I","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","27/02/2018","Tuesday","Ninguno","Ninguno","2018-I","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","28/02/2018","Wednesday","Ninguno","Ninguno","2018-I","4","Ninguno","","","","","","","","","","","","",""
"AD20180102","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría pública","Pregrado","01/03/2018","Thursday","N/A","32","2018-I","4","","DICTADA","","","","","","","","","","","",""
"AD20180103","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría pública","Pregrado","02/03/2018","Friday","N/A","32","2018-I","4","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","03/03/2018","Saturday","Ninguno","Ninguno","2018-I","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","05/03/2018","Monday","Ninguno","Ninguno","2018-I","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","06/03/2018","Tuesday","Ninguno","Ninguno","2018-I","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/03/2018","Wednesday","Ninguno","Ninguno","2018-I","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","08/03/2018","Thursday","Ninguno","Ninguno","2018-I","5","Ninguno","","","","","","","","","","","","",""
"AD20180104","Gestión de Procesos Empresariales ERP","SAP","Beatriz Helena Diaz","Administración de Empresas","Pregrado","09/03/2018","Friday","N/A","30","2018-I","5","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","10/03/2018","Saturday","Ninguno","Ninguno","2018-I","5","Ninguno","","","","","","","","","","","","",""
"AD20180105","Diseño, Gestión y Evaluación de Proyectos","Microsoft Project","Liliana Patricia Chacon Gonzalez","Administración de Empresas","Pregrado","12/03/2018","Monday","N/A","32","2018-I","6","","DICTADA","","","","","","","","","","","",""
"AD20180106","Contabilidad de operaciones","Excel","Monica Sarmiento","Contaduría pública","Pregrado","13/03/2018","Tuesday","N/A","N/A","2018-I","6","","DICTADA","","","","","","","","","","","",""
"AD20180107","Diseño, Gestión y Evaluación de Proyectos","Microsoft Project","Liliana Patricia Chacon Gonzalez","Administración de Empresas","Pregrado","13/03/2018","Tuesday","N/A","38","2018-I","6","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/03/2018","Wednesday","Ninguno","Ninguno","2018-I","6","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/03/2018","Thursday","Ninguno","Ninguno","2018-I","6","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","16/03/2018","Friday","Ninguno","Ninguno","2018-I","6","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","17/03/2018","Saturday","Ninguno","Ninguno","2018-I","6","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","19/03/2018","Monday","Ninguno","Ninguno","2018-I","7","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","20/03/2018","Tuesday","Ninguno","Ninguno","2018-I","7","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","21/03/2018","Wednesday","Ninguno","Ninguno","2018-I","7","Ninguno","","","","","","","","","","","","",""
"AD20180108","Sistemas de Información Gerencial","Odoo","Beatriz Helena Diaz","Administración de Empresas","Pregrado","22/03/2018","Thursday","N/A","31","2018-I","7","","DICTADA","","","","","","","","","","","",""
"AD20180109","Teoria de la decisión","Z-Tree","Andrea Gonzalez Sandoval","Administración de Empresas","Pregrado","22/03/2018","Thursday","N/A","34","2018-I","7","","DICTADA","","","","","","","","","","","",""
"AD20180110","Gestión de Procesos Empresariales ERP","Odoo","Beatriz Helena Diaz","Administración de Empresas","Pregrado","23/03/2018","Friday","N/A","12","2018-I","7","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","24/03/2018","Saturday","Ninguno","Ninguno","2018-I","7","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","02/04/2018","Monday","Ninguno","Ninguno","2018-I","8","Ninguno","","","","","","","","","","","","",""
"AD20180111","Econometria II","R","Nancy Milena Hoyos","Economía","Pregrado","03/04/2018","Tuesday","N/A","10","2018-I","8","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","04/04/2018","Wednesday","Ninguno","Ninguno","2018-I","8","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","05/04/2018","Thursday","Ninguno","Ninguno","2018-I","8","Ninguno","","","","","","","","","","","","",""
"AD20180112","Teoria de la decisión","Z-Tree","Andrea Gonzalez Sandoval","Administración de Empresas","Pregrado","06/04/2018","Friday","N/A","34","2018-I","8","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/04/2018","Saturday","Ninguno","Ninguno","2018-I","8","Ninguno","","","","","","","","","","","","",""
"AD20180113","Econometria II","R","Nancy Milena Hoyos","Economía","Pregrado","09/04/2018","Monday","N/A","10","2018-I","9","","DICTADA","","","","","","","","","","","",""
"AD20180114","Seminario de investigación","STATA","Victor Mauricio Castañeda","Maestría en Contabilidad y Finanzas","Posgrado","10/04/2018","Tuesday","N/A","12","2018-I","9","","DICTADA","","","","","","","","","","","",""
"AD20180115","Econometria II","R","Nancy Milena Hoyos","Economía","Pregrado","10/04/2018","Tuesday","N/A","10","2018-I","9","","DICTADA","","","","","","","","","","","",""
"AD20180116","Sistemas de Información Gerencial","Odoo","Henry Martinez Sarmiento","Administración de Empresas","Pregrado","10/04/2018","Tuesday","N/A","20","2018-I","9","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","11/04/2018","Wednesday","Ninguno","Ninguno","2018-I","9","Ninguno","","","","","","","","","","","","",""
"AD20180117","Seminario de investigación","STATA","Victor Mauricio Castañeda","Maestría en Contabilidad y Finanzas","Posgrado","12/04/2018","Thursday","N/A","12","2018-I","9","","DICTADA","","","","","","","","","","","",""
"AD20180118","Investigación de Mercados","SPSS","Sandra Patricia Berrio","Administración de Empresas","Pregrado","13/04/2018","Friday","N/A","31","2018-I","9","","DICTADA","","","","","","","","","","","",""
"AD20180119","Econometria II","Latex","Nancy Milena Hoyos","Economía","Pregrado","14/04/2018","Saturday","N/A","5","2018-I","9","","DICTADA","","","","","","","","","","","",""
"AD20180120","Econometria II","R","Nancy Milena Hoyos","Economía","Pregrado","16/04/2018","Monday","N/A","10","2018-I","10","","DICTADA","","","","","","","","","","","",""
"AD20180121","Sistemas de Información","Odoo","Edwin Santiago Castillo Davila","Contaduría pública","Pregrado","17/04/2018","Tuesday","N/A","10","2018-I","10","","DICTADA","","","","","","","","","","","",""
"AD20180122","Sistemas de Información Gerencial","Odoo","Henry Martinez Sarmiento","Administración de Empresas","Pregrado","17/04/2018","Tuesday","N/A","20","2018-I","10","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","18/04/2018","Wednesday","Ninguno","Ninguno","2018-I","10","Ninguno","","","","","","","","","","","","",""
"AD20180123","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría pública","Pregrado","19/04/2018","Thursday","N/A","32","2018-I","10","","DICTADA","","","","","","","","","","","",""
"AD20180124","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría pública","Pregrado","20/04/2018","Friday","N/A","32","2018-I","10","","DICTADA","","","","","","","","","","","",""
"AD20180125","Investigación de Mercados","SPSS","Sandra Patricia Berrio","Administración de Empresas","Pregrado","20/04/2018","Friday","N/A","31","2018-I","10","","DICTADA","","","","","","","","","","","",""
"AD20180126","Econometria II","Latex","Nancy Milena Hoyos","Economía","Pregrado","21/04/2018","Saturday","N/A","5","2018-I","10","","DICTADA","","","","","","","","","","","",""
"AD20180127","Sistemas de Información Gerencial","SAP","Henry Martinez Sarmiento","Administración de Empresas","Pregrado","23/04/2018","Monday","N/A","15","2018-I","11","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","24/04/2018","Tuesday","Ninguno","Ninguno","2018-I","11","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","25/04/2018","Wednesday","Ninguno","Ninguno","2018-I","11","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","26/04/2018","Thursday","Ninguno","Ninguno","2018-I","11","Ninguno","","","","","","","","","","","","",""
"AD20180128","Investigación de Mercados","SPSS","Sandra Patricia Berrio","Administración de Empresas","Pregrado","27/04/2018","Friday","N/A","31","2018-I","11","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","28/04/2018","Saturday","Ninguno","Ninguno","2018-I","11","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","30/04/2018","Monday","Ninguno","Ninguno","2018-I","12","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","01/05/2018","Tuesday","Ninguno","Ninguno","2018-I","12","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","02/05/2018","Wednesday","Ninguno","Ninguno","2018-I","12","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","03/05/2018","Thursday","Ninguno","Ninguno","2018-I","12","Ninguno","","","","","","","","","","","","",""
"AD20180129","Investigación de Mercados","SPSS","Sandra Patricia Berrio","Administración de Empresas","Pregrado","04/05/2018","Friday","N/A","31","2018-I","12","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","05/05/2018","Saturday","Ninguno","Ninguno","2018-I","12","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/05/2018","Monday","Ninguno","Ninguno","2018-I","13","Ninguno","","","","","","","","","","","","",""
"AD20180130","Seminario de investigación","Nvivo","Victor Mauricio Castañeda","Maestría en Contabilidad y Finanzas","Posgrado","08/05/2018","Tuesday","N/A","12","2018-I","13","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","09/05/2018","Wednesday","Ninguno","Ninguno","2018-I","13","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","10/05/2018","Thursday","Ninguno","Ninguno","2018-I","13","Ninguno","","","","","","","","","","","","",""
"AD20180131","La calidad de la gestión en las operaciones de servicio","Anylogic","Luis Alejandro Rodríguez","Maestría en Administración","Posgrado","11/05/2018","Friday","N/A","10","2018-I","13","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","12/05/2018","Saturday","Ninguno","Ninguno","2018-I","13","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/05/2018","Monday","Ninguno","Ninguno","2018-I","14","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/05/2018","Tuesday","Ninguno","Ninguno","2018-I","14","Ninguno","","","","","","","","","","","","",""
"AD20180132","Gestión de Procesos Empresariales ERP","Odoo","Beatriz Helena Diaz","Administración de Empresas","Pregrado","16/05/2018","Wednesday","N/A","13","2018-I","14","","DICTADA","","","","","","","","","","","",""
"AD20180133","Administración de personal II","SAP","Myriam Sosa Espinosa","Administración de Empresas","Pregrado","16/05/2018","Wednesday","N/A","36","2018-I","14","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","17/05/2018","Thursday","Ninguno","Ninguno","2018-I","14","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","18/05/2018","Friday","Ninguno","Ninguno","2018-I","14","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","19/05/2018","Saturday","Ninguno","Ninguno","2018-I","14","Ninguno","","","","","","","","","","","","",""
"AD20180134","Administración de personal II","SAP","Myriam Sosa Espinosa","Administración de Empresas","Pregrado","21/05/2018","Monday","N/A","41","2018-I","15","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","22/05/2018","Tuesday","Ninguno","Ninguno","2018-I","15","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","23/05/2018","Wednesday","Ninguno","Ninguno","2018-I","15","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","24/05/2018","Thursday","Ninguno","Ninguno","2018-I","15","Ninguno","","","","","","","","","","","","",""
"AD20180135","Investigación de Mercados","SPSS","Monica Silvana Diaz","Maestría en Ingeniería Industrial","Posgrado","25/05/2018","Friday","N/A","10","2018-I","15","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","26/05/2018","Saturday","Ninguno","Ninguno","2018-I","15","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","28/05/2018","Monday","Ninguno","Ninguno","2018-I","16","Ninguno","","","","","","","","","","","","",""
"AD20180136","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría pública","Pregrado","29/05/2018","Tuesday","N/A","32","2018-I","16","","DICTADA","","","","","","","","","","","",""
"AD20180137","Gestión en operaciones e innovación","SAP","Gloria Isabel Rodriguez","Maestría en Administración","Posgrado","30/05/2018","Wednesday","N/A","38","2018-I","16","","DICTADA","","","","","","","","","","","",""
"AD20180138","Gestión de las Operaciones y la Producción I","SAP","Gloria Isabel Rodriguez","Administración de Empresas","Pregrado","30/05/2018","Wednesday","N/A","38","2018-I","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","31/05/2018","Thursday","Ninguno","Ninguno","2018-I","16","Ninguno","","","","","","","","","","","","",""
"AD20180139","Fundamentos de Contabilidad de Gestión","SAP","Jairo Orlando Villabona","Contaduría pública","Pregrado","01/06/2018","Friday","N/A","32","2018-I","16","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","02/06/2018","Saturday","Ninguno","Ninguno","2018-I","16","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","13/08/2018","Monday","Ninguno","Ninguno","2018-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/08/2018","Tuesday","Ninguno","Ninguno","2018-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/08/2018","Wednesday","Ninguno","Ninguno","2018-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","16/08/2018","Thursday","Ninguno","Ninguno","2018-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","17/08/2018","Friday","Ninguno","Ninguno","2018-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","18/08/2018","Saturday","Ninguno","Ninguno","2018-II","1","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","20/08/2018","Monday","Ninguno","Ninguno","2018-II","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","21/08/2018","Tuesday","Ninguno","Ninguno","2018-II","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","22/08/2018","Wednesday","Ninguno","Ninguno","2018-II","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","23/08/2018","Thursday","Ninguno","Ninguno","2018-II","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","24/08/2018","Friday","Ninguno","Ninguno","2018-II","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","25/08/2018","Saturday","Ninguno","Ninguno","2018-II","2","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","27/08/2018","Monday","Ninguno","Ninguno","2018-II","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","28/08/2018","Tuesday","Ninguno","Ninguno","2018-II","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","29/08/2018","Wednesday","Ninguno","Ninguno","2018-II","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","30/08/2018","Thursday","Ninguno","Ninguno","2018-II","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","31/08/2018","Friday","Ninguno","Ninguno","2018-II","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","01/09/2018","Saturday","Ninguno","Ninguno","2018-II","3","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","03/09/2018","Monday","Ninguno","Ninguno","2018-II","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","04/09/2018","Tuesday","Ninguno","Ninguno","2018-II","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","05/09/2018","Wednesday","Ninguno","Ninguno","2018-II","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","06/09/2018","Thursday","Ninguno","Ninguno","2018-II","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/09/2018","Friday","Ninguno","Ninguno","2018-II","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","08/09/2018","Saturday","Ninguno","Ninguno","2018-II","4","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","10/09/2018","Monday","Ninguno","Ninguno","2018-II","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","11/09/2018","Tuesday","Ninguno","Ninguno","2018-II","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","12/09/2018","Wednesday","Ninguno","Ninguno","2018-II","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","13/09/2018","Thursday","Ninguno","Ninguno","2018-II","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/09/2018","Friday","Ninguno","Ninguno","2018-II","5","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","15/09/2018","Saturday","Ninguno","Ninguno","2018-II","5","Ninguno","","","","","","","","","","","","",""
