"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","07/03/2017","Tuesday","Ninguno","Ninguno","2017-I","6","Ninguno","","","","","","","","","","","","",""
"AD20170113","Fundamentos de Finanzas","Excel","David Hernández","Administración de Empresas","Pregrado","08/03/2017","Wednesday","14:00- 16:00","N/A","2017-I","6","","DICTADA","","","","","","","","","","","",""
"AD20170114","Derecho constitucional económico","Moodle","Adrián Zeballos","Contaduría Pública","Pregrado","09/03/2017","Thursday","13:30- 14:30","N/A","2017-I","6","","DICTADA","","","","","","","","","","","",""
"AD20170115","Teoría de la Contabilidad I","Moodle","Claudia Niño","Contaduría Pública","Pregrado","10/03/2017","Friday","15:00- 16:00","N/A","2017-I","6","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","11/03/2017","Saturday","Ninguno","Ninguno","2017-I","6","Ninguno","","","","","","","","","","","","",""
"AD20170116","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","13/03/2017","Monday","09:00- 11:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"AD20170117","Gestión de las operaciones y la producción II","SAP","Carlos Eduardo Martinez","Administración de Empresas","Pregrado","13/03/2017","Monday","18:00- 20:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","14/03/2017","Tuesday","Ninguno","Ninguno","2017-I","7","Ninguno","","","","","","","","","","","","",""
"AD20170118","Fundamentos de Finanzas","Excel","David Hernández","Administración de Empresas","Pregrado","15/03/2017","Wednesday","14:00- 16:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"AD20170119","Gestión de las operaciones y la producción II","SAP","Carlos Eduardo Martinez","Administración de Empresas","Pregrado","15/03/2017","Wednesday","18:00- 20:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"AD20170120","Investigación de Mercados","SPSS","Herbert Bermúdez","Administración de Empresas","Pregrado","15/03/2017","Wednesday","11:00- 13:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
