Semana del semestre,Software,Id_Asistencia,Cantidad Total,Probabilidad
8,Z-Tree,3,3,0.061224489795918366
8,Cesim Marketing,2,2,0.04081632653061224
8,Herramientas Bibliográficas,2,2,0.04081632653061224
8,SAP RRHH,2,2,0.04081632653061224
8,STATA,2,2,0.04081632653061224
8,Cesim Global Challenge,1,1,0.02040816326530612
8,Excel,1,1,0.02040816326530612
8,Herramientas de Diseño,1,1,0.02040816326530612
8,Referenciación en Word,1,1,0.02040816326530612
8,SAP,1,1,0.02040816326530612
8,SAP Analytics Cloud,1,1,0.02040816326530612
8,World Office,1,1,0.02040816326530612
8,Ninguno,0,0,0.0
7,SAP,9,9,0.16363636363636364
7,Microsoft Project,8,8,0.14545454545454545
7,NVivo,6,6,0.10909090909090909
7,Herramientas Bibliográficas,5,5,0.09090909090909091
7,Odoo,5,5,0.09090909090909091
7,Trello,4,4,0.07272727272727272
7,SPSS,3,3,0.05454545454545454
7,Excel,2,2,0.03636363636363636
7,Hr Management,2,2,0.03636363636363636
7,Latex,2,2,0.03636363636363636
7,SAP RRHH,2,2,0.03636363636363636
7,Cesim Marketing,1,1,0.01818181818181818
7,Herramientas de Diseño,1,1,0.01818181818181818
7,Moodle,1,1,0.01818181818181818
7,R,1,1,0.01818181818181818
7,STATA,1,1,0.01818181818181818
7,World Office,1,1,0.01818181818181818
7,Z-Tree,1,1,0.01818181818181818
7,Ninguno,0,0,0.0
6,R,4,4,0.12903225806451613
6,Excel,3,3,0.0967741935483871
6,Microsoft Project,3,3,0.0967741935483871
6,NVivo,3,3,0.0967741935483871
6,SAP,3,3,0.0967741935483871
6,Access,2,2,0.06451612903225806
6,Moodle,2,2,0.06451612903225806
6,Odoo,2,2,0.06451612903225806
6,SPSS,2,2,0.06451612903225806
6,Cesim Hospitality,1,1,0.03225806451612903
6,Nvivo,1,1,0.03225806451612903
6,OpenSesame,1,1,0.03225806451612903
6,Python,1,1,0.03225806451612903
6,Trello,1,1,0.03225806451612903
6,World Office,1,1,0.03225806451612903
6,Z-tree,1,1,0.03225806451612903
6,Ninguno,0,0,0.0
5,R,3,3,0.13636363636363635
5,Access,2,2,0.09090909090909091
5,Excel,2,2,0.09090909090909091
5,Google Classroom,2,2,0.09090909090909091
5,Google Meet,2,2,0.09090909090909091
5,HR Management,2,2,0.09090909090909091
5,World Office,2,2,0.09090909090909091
5,Asesoría en diseño,1,1,0.045454545454545456
5,Microsoft Project,1,1,0.045454545454545456
5,NVivo,1,1,0.045454545454545456
5,Odoo,1,1,0.045454545454545456
5,Python,1,1,0.045454545454545456
5,SAP,1,1,0.045454545454545456
5,SPSS,1,1,0.045454545454545456
5,Ninguno,0,0,0.0
4,SAP,9,9,0.21428571428571427
4,Cesim Global Challenge,4,4,0.09523809523809523
4,Excel,4,4,0.09523809523809523
4,R,4,4,0.09523809523809523
4,Microsoft Project,3,3,0.07142857142857142
4,Moodle,3,3,0.07142857142857142
4,Google Classroom,2,2,0.047619047619047616
4,Google Meet,2,2,0.047619047619047616
4,HR Management,2,2,0.047619047619047616
4,SPSS,2,2,0.047619047619047616
4,Cesim Service,1,1,0.023809523809523808
4,G Suite,1,1,0.023809523809523808
4,Herramientas de diseño,1,1,0.023809523809523808
4,Nvivo,1,1,0.023809523809523808
4,Odoo,1,1,0.023809523809523808
4,Python,1,1,0.023809523809523808
4,VPN,1,1,0.023809523809523808
4,Ninguno,0,0,0.0
3,R,5,5,0.22727272727272727
3,Excel,4,4,0.18181818181818182
